,index,Unnamed: 0,book_title,author_id,Year released,Rating,ratings
0,900,900,"Garden Spells (Waverley Family, #1)",354.0,2007,"4,05",`94698`
1,901,901,"The Duke and I (Bridgertons, #1)",,2000,"3,82",`356433`
2,902,902,"Dance of Thieves (Dance of Thieves, #1)",182.0,2018,"4,21",`70427`
3,903,903,"A Thousand Pieces of You (Firebird, #1)",355.0,2014,"3,9",`55547`
4,904,904,"The Friend Zone (Game On, #2)",,2015,"4,15",`40224`
5,905,905,"Christmas Eve at Friday Harbor (Friday Harbor, #1)",68.0,2010,"3,76",`19147`
6,906,906,"Crash (Crash, #1)",356.0,2012,"3,97",`60399`
7,907,907,"Waiting for Tom Hanks (Waiting for Tom Hanks, #1)",357.0,2019,"3,51",`23413`
8,908,908,"Kings Rising (Captive Prince, #3)",193.0,2016,"4,43",`49858`
9,909,909,"Glory in Death (In Death, #2)",191.0,1995,"4,27",`59298`
10,910,910,Arabella (Paperback),229.0,1949,"4,08",`18588`
11,911,911,Malibu Rising (Hardcover),18.0,2021,"4,09",`595597`
12,912,912,Saint Anything (Hardcover),153.0,2015,"4,03",`60475`
13,913,913,"One of Us Is Lying (One of Us is Lying, #1)",358.0,2017,"3,99",`603338`
14,914,914,,194.0,2017,"4,34",`37067`
15,915,915,"Bitten (Otherworld, #1)",359.0,2001,"4,02",`99541`
16,916,916,"The Winner's Kiss (The Winner's Trilogy, #3)",154.0,2016,"4,22",`46572`
17,917,917,Under the Whispering Door (Hardcover),148.0,2021,"4,19",`102049`
18,918,918,"Husband Material (London Calling, #2)",80.0,2022,"3,71",`12169`
19,919,919,Under the Whispering Door (Hardcover),148.0,2021,"4,19",`102049`
20,920,920,"Saphirblau (Edelstein-Trilogie, #2)",263.0,2010,"4,17",`97457`
21,921,921,"Love Story (Love Story, #1)",360.0,1970,"3,64",`57475`
22,922,922,"The Bridgertons: Happily Ever After (Bridgertons, #1.5-8.5; 8.6)",20.0,2013,"4,02",`29594`
23,923,923,A Very Large Expanse of Sea (Hardcover),58.0,2018,"4,13",`51694`
24,924,924,"House of Sky and Breath (Crescent City, #2)",15.0,2022,"4,52",`151116`
25,925,925,"The Perfect Play (Play by Play, #1)",361.0,2011,"3,9",`38713`
26,926,926,"Slightly Dangerous (Bedwyn Saga, #6)",,2004,"4,21",`19432`
27,927,927,"Until November (Until, #1)",362.0,2013,"4,09",`50523`
28,928,928,"The Day of the Duchess (Scandal & Scoundrel, #3)",104.0,2017,"3,92",`14031`
29,929,929,"Tempting the Best Man (Gamble Brothers, #1)",304.0,2012,"3,69",`33510`
30,930,930,"Float Plan (Beck Sisters, #1)",363.0,2021,"4,0",`21703`
31,931,931,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",82.0,1999,"3,6",`107531`
32,932,932,"Us (Him, #2)",181.0,2016,"4,32",`26412`
33,933,933,Dumplin' (Dumplin' #1),283.0,2015,"3,9",`83838`
34,934,934,"Love Hacked (Knitting in the City, #3)",118.0,2014,"4,12",`24306`
35,935,935,"Kushiel's Dart (Phèdre's Trilogy, #1)",364.0,2001,"4,01",`77268`
36,936,936,Twenties Girl (Hardcover),85.0,2009,"3,85",`161930`
37,937,937,Alone With You in the Ether (Hardcover),,2020,"4,2",`18789`
38,938,938,Ain't She Sweet? (Paperback),163.0,2004,"4,08",`23538`
39,939,939,The Falling in Love Montage (Hardcover),366.0,2020,"3,89",`18347`
40,940,940,,151.0,2008,"4,08",`30154`
41,941,941,"How to Marry a Marquis (Agents of the Crown, #2)",20.0,1999,"4,04",`20497`
42,942,942,"First Drop of Crimson (Night Huntress World, #1)",141.0,2010,"4,14",`56219`
43,943,943,"Battle Royal (Palace Insiders, #1)",302.0,2021,"3,84",`8793`
44,944,944,"Unveiled (Turner, #1)",113.0,2011,"3,86",`9105`
45,945,945,The Summer of Broken Rules (Hardcover),367.0,2021,"4,07",`28866`
46,946,946,Much Ado About You (Kindle Edition),61.0,2021,"3,67",`15445`
47,947,947,"Hothouse Flower (Calloway Sisters, #2)",111.0,2014,"4,33",`39279`
48,948,948,"Magic Bleeds (Kate Daniels, #4)",,2010,"4,44",`78949`
49,949,949,"Sweet Evil (Sweet, #1)",,2012,"4,07",`76883`
50,950,950,The Blue Castle (Mass Market Paperback),369.0,1926,"4,29",`36734`
51,951,951,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",133.0,2021,"4,15",`58490`
52,952,952,"These Old Shades (Alastair-Audley, #1)",229.0,1926,"4,09",`18068`
53,953,953,"Dark Needs at Night's Edge (Immortals After Dark, #4)",185.0,2008,"4,29",`49180`
54,954,954,"The Opportunist (Love Me with Lies, #1)",370.0,2011,"4,2",`51392`
55,955,955,"The Iron Daughter (The Iron Fey, #2)",207.0,2010,"4,08",`124451`
56,956,956,"Something Blue (Darcy & Rachel, #2)",158.0,2005,"3,94",`213771`
57,957,957,"Own the Wind (Chaos, #1)",231.0,2013,"4,2",`47464`
58,958,958,"Firelight (Darkest London, #1)",251.0,2012,"3,77",`16432`
59,959,959,"Addicted for Now (Addicted, #3)",111.0,2013,"4,26",`42708`
60,960,960,"Beard in Mind (Winston Brothers, #4)",118.0,2017,"4,2",`22558`
61,961,961,"The Best Man (Blue Heron, #1)",371.0,2013,"3,93",`27147`
62,962,962,"Changeless (Parasol Protectorate, #2)",131.0,2010,"3,99",`44786`
63,963,963,"Bittersweet (True North, #1)",181.0,2016,"4,04",`19508`
64,964,964,The Best Thing (Kindle Edition),35.0,2019,"3,99",`27936`
65,965,965,The Obsession (Hardcover),93.0,2016,"4,21",`71821`
66,966,966,"The Mighty Storm (The Storm, #1)",372.0,2012,"4,16",`72206`
67,967,967,A Lady for a Duke (Paperback),,2022,"4,21",`6029`
68,968,968,Opposite of Always (Kindle Edition),373.0,2019,"3,67",`22288`
