,index,Unnamed: 0,book_title,author_id,Year released,Rating,ratings
0,0,0,,0.0,1813,"4,28",`3732237`
1,1,1,The Fault in Our Stars (Hardcover),1.0,2012,"4,16",`4501032`
2,2,2,"Red, White & Royal Blue (Paperback)",2.0,2019,"4,16",`607767`
3,3,3,,3.0,2005,"3,63",`5901197`
4,4,4,The Hating Game (Paperback),4.0,2016,"3,98",`537504`
5,5,5,Beach Read (Paperback),5.0,2020,"4,06",`607628`
6,6,6,,6.0,2018,"3,94",`331121`
7,7,7,It Ends with Us (Kindle Edition),7.0,2016,"4,38",`1641804`
8,8,8,The Love Hypothesis (Paperback),8.0,2021,"4,29",`724017`
9,9,9,The Unhoneymooners (Paperback),,2019,"3,98",`525789`
10,10,10,,5.0,2021,"3,97",`658406`
11,11,11,"Fifty Shades of Grey (Fifty Shades, #1)",10.0,2011,"3,66",`2327268`
12,12,12,"Me Before You (Me Before You, #1)",11.0,2012,"4,26",`1436094`
13,13,13,"New Moon (The Twilight Saga, #2)",3.0,2006,"3,57",`1734961`
14,14,14,Eleanor & Park (Hardcover),12.0,2012,"3,97",`1066165`
15,15,15,"Outlander (Outlander, #1)",13.0,1991,"4,25",`957461`
16,16,16,"Breaking Dawn (The Twilight Saga, #4)",3.0,2008,"3,72",`1544376`
17,17,17,Ugly Love (Kindle Edition),7.0,2014,"4,22",`929379`
18,18,18,"The Notebook (The Notebook, #1)",14.0,1996,"4,13",`1537458`
19,19,19,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",15.0,2015,"4,19",`1141409`
20,20,20,,5.0,2022,"4,28",`390789`
21,21,21,"Get a Life, Chloe Brown (The Brown Sisters, #1)",,2019,"3,85",`138781`
22,22,22,Jane Eyre (Paperback),17.0,1847,"4,14",`1896342`
23,23,23,The Seven Husbands of Evelyn Hugo (Hardcover),18.0,2017,"4,47",`1520986`
24,24,24,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",19.0,2014,"4,07",`739461`
25,25,25,"The Duke and I (Bridgertons, #1)",20.0,2000,"3,82",`356433`
26,26,26,"The Deal (Off-Campus, #1)",21.0,2015,"4,27",`431337`
27,27,27,"The Spanish Love Deception (Spanish Love Deception, #1)",22.0,2021,"3,97",`377868`
28,28,28,"Fifty Shades Darker (Fifty Shades, #2)",10.0,2011,"3,83",`837476`
